# pH	kcat
5	0.771922
5.2	3.64047
6.6	14.0529
5.8	10.1382
8.6	13.0826
7	16.0246
6.8	16.717
9.2	4.14527
6.2	13.3075
8.2	12.0185
7.2	15.5654
9	8.39171
5.6	7.96136
7.4	15.5731
6.4	13.3991
8.4	11.4203
5.4	5.96149
7.8	15.0912
7.6	15.5092
6	11.3755
8.8	11.2144
8	13.5575
9.4	3.25885
5	0.911215
5.2	3.05263
6.6	14.5881
5.8	10.3938
8.6	9.73034
7	16.7492
6.8	14.6927
9.2	3.84844
6.2	13.6435
8.2	12.9669
7.2	17.1117
9	8.23041
5.6	7.60693
7.4	17.3778
6.4	13.4699
8.4	13.8747
5.4	5.44689
7.8	17.0002
7.6	16.7303
6	12.0973
8.8	9.34027
8	15.1849
9.4	5.09864
5	0.798557
5.2	3.44241
6.6	14.7307
5.8	10.2107
8.6	11.2597
7	16.9807
6.8	15.4513
9.2	3.88838
6.2	13.2159
8.2	14.1836
7.2	17.2261
9	5.77065
5.6	7.95583
7.4	15.5721
6.4	14.8939
8.4	13.6835
5.4	5.74892
7.8	14.8553
7.6	16.2937
6	10.7268
8.8	11.4797
8	15.8743
9.4	4.09765
5	0.694926
5.2	3.10256
6.6	14.4055
5.8	9.40098
8.6	11.0724
7	15.0815
6.8	16.3211
9.2	7.61219
6.2	12.3126
8.2	12.6887
7.2	16.0035
9	7.40716
5.6	7.41562
7.4	17.7128
6.4	13.6338
8.4	14.5773
5.4	5.28962
7.8	15.2343
7.6	17.0892
6	12.0492
8.8	10.4377
8	14.9062
9.4	1.81568
5	0.936632
5.2	3.00463
6.6	14.7525
5.8	10.2145
8.6	10.2577
7	16.5895
6.8	16.0514
9.2	6.56154
6.2	12.6215
8.2	13.0983
7.2	16.6105
9	6.05436
5.6	8.24952
7.4	16.7074
6.4	13.798
8.4	10.9435
5.4	5.79754
7.8	15.3658
7.6	15.8273
6	11.6097
8.8	10.1716
8	14.6776
9.4	2.64675
5	0.716559
5.2	3.22868
6.6	15.5563
5.8	10.3565
8.6	10.9343
7	15.0085
6.8	16.0581
9.2	7.02577
6.2	12.9701
8.2	15.4435
7.2	15.0363
9	7.81011
5.6	7.92215
7.4	16.8699
6.4	14.0794
8.4	13.0195
5.4	5.29625
7.8	16.8387
7.6	16.2296
6	10.9894
8.8	11.0592
8	14.3987
9.4	1.37014
5	0.651248
5.2	3.25551
6.6	15.9171
5.8	9.51139
8.6	10.4237
7	16.2455
6.8	16.3642
9.2	3.68878
6.2	12.9023
8.2	14.0593
7.2	16.2035
9	6.93061
5.6	7.67424
7.4	16.3348
6.4	14.5234
8.4	10.9546
5.4	5.52802
7.8	17.028
7.6	15.0158
6	11.1826
8.8	8.47903
8	14.3632
9.4	4.69899
5	0.958562
5.2	3.10493
6.6	15.4601
5.8	10.0465
8.6	10.5487
7	15.0471
6.8	16.3877
9.2	4.74421
6.2	12.6196
8.2	14.3046
7.2	16.8881
9	6.25806
5.6	7.56252
7.4	16.4815
6.4	14.2861
8.4	13.0435
5.4	5.37999
7.8	15.6011
7.6	15.4094
6	10.97
8.8	10.8634
8	15.0333
9.4	1.99264
5	0.586753
5.2	3.61665
6.6	15.9049
5.8	10.0481
8.6	13.0481
7	16.5784
6.8	16.4264
9.2	6.56678
6.2	12.4502
8.2	12.4738
7.2	15.6895
9	5.76142
5.6	8.02148
7.4	15.1951
6.4	14.3608
8.4	14.4675
5.4	5.86593
7.8	14.2356
7.6	16.5253
6	10.8008
8.8	8.39596
8	14.7462
9.4	2.00302
5	0.573941
5.2	3.23856
6.6	15.4789
5.8	10.2002
8.6	9.77382
7	16.3523
6.8	16.8073
9.2	5.04119
